,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
3980,H. Griffiths,1,0,4.0,63.0,0.425,8.334999999999999,0,0,6
1107,D. Cirkin,1,2,9.0,72.5,2.6,3.171111111111111,0,0,4
3825,A. Valdés,1,0,1.0,66.5,0.725,0.5775,0,0,3
2508,Y. Özdemir,1,0,3.0,69.0,1.6,1.60625,0,0,5
1797,J. Marshall-Rutty,1,0,0.7,68.5,0.75,3.875,0,0,5
1508,Aurélio Buta,1,2,32.0,75.0,6.0,8.80952380952381,0,0,5
127,N. Mbamba,1,0,3.0,74.5,1.7,28.45921052631579,0,0,6
4840,21 J. Piquerez,1,1,0.5,73.0,2.5,2.4234615384615386,0,0,3
2437,E. Haddock,1,0,0.5,55.0,0.09,0.25125000000000003,0,0,3
403,Kayky,1,1,22.0,74.5,2.2,42.38637931034482,0,0,6
150,B. El Khannouss,1,2,9.0,80.0,10.0,4.861538461538462,0,0,8
4956,Y. Gboho,1,3,15.0,75.0,3.8,4.773076923076923,0,0,3
2444,J. Connolly,1,1,1.0,65.5,0.75,0.775,0,0,4
2442,R. Pop,1,2,0.85,73.0,1.8,0.96,0,0,6
62,D. Núñez,3,3,130.0,85.0,52.5,21.95926829268293,0,0,7
2544,M. Dean,1,0,2.0,66.5,0.875,0.45249999999999996,0,0,4
4191,S. Braybrooke,1,0,4.0,70.5,1.1,4.782291666666667,0,0,5
3109,P. Pérez,1,1,6.0,71.0,0.6,1.0,0,0,1
3557,Edmilson Cambila,1,0,0.85,61.5,0.35,1.34375,0,0,2
4483,D. Camacho,1,0,0.5,64.5,0.65,0.65,0,0,2
1576,R. Mandragora,2,1,46.0,77.5,9.5,11.290277777777778,0,0,5
3632,B. Schamine,1,0,2.0,68.5,0.775,2.4916666666666667,0,0,10
3590,M. Arıkan,1,0,0.6,62.0,0.325,0.8583333333333334,0,0,6
3285,L. Unnerstall,1,4,13.0,80.0,10.5,6.528125,0,0,7
2153,William Carvalho,2,4,30.0,81.0,18.0,12.610294117647058,0,0,9
4332,M. Ndiaye,1,1,3.0,71.0,1.7,2.0678571428571426,0,0,5
3676,A. Feratovič,1,0,3.0,72.0,2.1,2.5,0,0,4
222,M. Vandevoordt,1,1,8.0,79.5,11.0,4.861538461538462,0,0,7
4901,Apuia,1,2,0.55,64.5,0.675,0.675,0,0,6
120,A. Nusa,1,4,6.0,79.0,5.5,7.3500000000000005,0,0,7
2380,23 R. Wilson,1,1,2.0,71.0,0.7,15.68148148148148,0,0,5
3134,P. Galdames,1,0,12.0,69.5,1.6,7.8950000000000005,0,0,4
4289,J. Carabalí,1,0,0.5,63.0,0.45,0.6416666666666667,0,0,3
2283,Mahamadou Susoho,1,0,4.0,70.5,0.8,42.38637931034482,0,0,3
181,A. Wharton,1,3,18.0,80.5,15.0,11.011904761904763,0,0,6
968,M. Retegui,1,1,25.0,79.5,16.0,7.8950000000000005,0,0,6
627,M. Akanji,2,1,140.0,83.5,36.5,42.38637931034482,1,0,6
3330,23 Iago Falqué,2,3,2.0,70.0,1.3,1.2083333333333333,0,0,1
4952,23 Pau Resta,1,0,1.0,65.5,0.525,1.1214285714285714,0,0,4
3454,K. Vermeer,1,1,1.0,63.0,0.05,0.4,0,0,2
1365,Rodrigo Muniz,1,1,45.0,76.0,5.5,6.167105263157895,0,0,6
4427,B. Idrizi,1,2,5.0,68.5,1.3,1.43125,0,0,4
4006,C. Medina,1,0,0.5,69.5,0.7,2.1824999999999997,0,0,3
614,J. Stones,2,1,180.0,85.5,49.5,42.38637931034482,0,0,11
3078,D. Chessa,1,0,1.0,66.0,0.825,0.6246153846153846,0,0,4
266,O. Watkins,2,5,120.0,83.0,39.5,15.68148148148148,0,0,9
3841,Cacho,1,0,2.0,67.5,1.1,2.0,0,0,6
3973,H. Akman,1,0,2.0,67.0,0.525,9.030555555555557,0,0,3
1932,H. Wolf,1,0,5.0,72.5,2.6,2.4272727272727272,0,0,4
2199,Adán,2,2,8.0,78.0,1.6,18.677272727272726,0,0,5
3190,M. Rose,1,1,12.0,69.5,1.4,1.6204545454545454,0,0,3
1807,A. Karabec,1,2,0.5,75.0,4.0,6.744642857142857,0,0,6
225,S. Berge,1,1,40.0,76.5,7.5,4.2375,0,0,5
4201,E. Bardeli,1,0,1.0,67.5,1.2,0.7611111111111111,0,0,7
5005,Huang Jiahui,1,1,1.0,62.0,0.425,0.6125,0,0,4
2068,Gerson Armão,1,2,24.0,78.0,15.0,8.95,0,0,4
2098,Álvaro García,1,1,25.0,79.0,17.0,8.58392857142857,0,0,9
1186,A. Rouault,1,2,17.0,78.0,9.0,9.601315789473684,0,0,4
2963,M. van Bergen,1,1,6.0,71.5,2.2,6.528125,0,0,5
