,Name,Age,Growth,Weak foot,Skill moves,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Total_movement,Total_power,Total_defending,Avg_stats,Value_mill(€),TotalAttSkiMent,Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength,ContRemaining,AttDef
1200,Joan Jordán,28,0,4,3,2,2,30.0,78.0,62.0,74.0,67.66666666666667,71.33333333333333,14.0,73.67777777777776,10.485,0,0,9,4,1.0
2785,A. Moreno,24,3,3,3,1,3,15.0,77.5,77.0,73.0,75.33333333333333,71.33333333333333,9.5,67.92222222222222,4.74375,0,0,5,2,1.0
3257,F. Al Muwallad,28,0,3,3,1,2,8.0,63.0,71.4,64.8,39.0,61.666666666666664,0.475,57.4,10.575000000000001,0,0,4,2,1.5
1518,G. Gudmundsson,24,5,3,3,1,3,21.0,76.5,76.6,72.2,69.0,71.5,6.0,63.71111111111111,9.093333333333334,0,0,6,3,1.0
4173,23 L. Molino,18,16,2,2,1,0,0.5,63.0,62.2,49.4,53.666666666666664,47.666666666666664,0.3,38.144444444444446,0.7600000000000001,0,0,5,2,1.0
734,K. Iheanacho,26,0,3,4,1,3,45.0,76.0,71.6,74.2,35.666666666666664,67.83333333333333,8.5,70.21111111111111,4.782291666666667,0,0,8,1,0.5
4546,Urko González,22,11,3,2,1,0,7.0,71.5,51.4,61.4,65.66666666666667,55.666666666666664,1.8,51.71111111111111,13.283695652173913,0,0,9,5,1.5
2514,K. Mantilla,20,11,3,2,1,0,4.0,73.5,58.2,56.2,67.0,55.333333333333336,2.5,50.0,4.722222222222222,0,0,5,4,1.0
2596,F. Mendy,22,9,3,2,1,1,12.0,75.5,64.2,62.6,69.66666666666667,62.166666666666664,3.9,52.111111111111114,4.033333333333333,0,0,6,5,1.0
4080,23 F. Katelaris,25,5,3,2,1,0,3.0,67.5,60.6,67.4,63.333333333333336,57.166666666666664,0.95,45.6,0.6166666666666667,0,0,4,2,0.5
4069,K. Daněk,20,8,3,3,1,1,0.5,74.0,70.8,58.6,28.0,59.5,3.5,59.22222222222222,6.744642857142857,0,0,7,5,1.0
887,L. Acosta,29,0,3,5,1,6,12.0,79.0,83.4,63.8,42.666666666666664,68.16666666666667,17.0,69.77777777777777,4.706428571428572,0,0,6,3,1.5
494,B. Badiashile,22,6,3,2,2,5,68.0,80.0,58.4,67.6,78.33333333333333,64.66666666666667,15.5,59.18888888888889,17.2421875,0,0,8,7,1.0
580,Adrián Bernabé,22,9,3,3,1,6,5.0,78.5,76.2,67.2,68.0,71.0,9.5,69.28888888888889,4.033333333333333,1,0,7,4,1.0
1133,J. Farrell,20,11,3,2,1,4,0.75,70.5,61.0,67.8,64.33333333333333,58.5,1.5,47.9,1.16875,0,0,5,2,1.5
212,Javi Guerra,20,11,4,3,1,4,21.0,79.5,66.8,70.6,69.66666666666667,69.33333333333333,9.0,67.56666666666666,11.588235294117647,0,0,7,4,1.0
1064,23 Diego Costa,33,0,3,2,4,1,69.0,75.0,57.6,74.4,37.666666666666664,65.0,3.6,69.53333333333333,8.334999999999999,0,0,2,0,2.0
3293,J. Clarke-Harris,28,0,4,3,1,5,8.0,69.0,69.0,74.4,19.0,61.0,1.4,61.57777777777778,1.306875,0,0,5,1,0.5
3796,A. Ba-Sy,22,8,3,3,1,0,1.0,66.0,52.8,62.6,19.666666666666668,51.666666666666664,0.9,51.82222222222222,1.8071428571428572,0,0,3,3,1.0
4692,22 E. Lira,21,10,3,2,1,1,20.0,75.0,71.8,67.4,65.33333333333333,66.5,3.4,60.73333333333333,1.3533333333333333,0,0,4,2,1.0
1004,T. Pembélé,20,9,3,3,1,0,12.0,74.5,75.2,60.4,65.0,65.33333333333333,3.3,57.91111111111112,3.171111111111111,0,0,6,5,1.0
4781,22 J. Schwermann,21,9,4,2,1,0,0.5,67.5,65.2,73.8,59.333333333333336,62.666666666666664,1.1,53.98888888888889,0.6841666666666667,0,0,3,-1,2.0
2159,E. Forsberg,31,0,4,4,3,4,12.0,79.0,72.2,64.8,32.666666666666664,66.0,14.5,72.63333333333334,2.2066666666666666,0,0,3,3,0.5
4049,R. Elongo-Yombo,21,9,4,3,1,1,1.0,68.5,74.0,64.2,40.0,62.0,1.3,55.388888888888886,0.9343750000000001,0,0,4,2,1.0
3966,J. Wellings,17,23,2,2,1,0,0.5,61.5,57.8,39.2,47.333333333333336,46.0,0.14,41.42222222222222,2.1816666666666666,0,0,4,2,2.0
186,A. Wan-Bissaka,25,2,2,3,2,4,100.0,81.0,78.4,65.0,82.0,71.0,24.5,63.6,15.333870967741936,1,1,7,2,1.5
2015,E. Atuesta,26,2,4,3,1,2,8.0,76.0,71.6,66.8,69.0,68.33333333333333,6.0,67.84444444444443,5.517857142857143,0,0,3,3,1.0
3384,23 M. Pereira,38,0,3,2,1,2,0.5,70.0,59.0,61.0,76.0,65.0,0.35,67.25555555555557,4.885714285714286,0,0,2,0,1.5
2056,Borja Mayoral,26,1,4,3,2,0,33.0,78.5,72.6,74.4,31.0,67.0,17.0,70.77777777777777,8.358333333333333,0,0,6,4,1.0
1631,J. Tarkowski,30,0,4,2,1,5,43.0,79.0,57.0,67.4,81.66666666666667,63.833333333333336,14.5,60.9,7.470535714285715,0,0,5,3,1.5
1307,S. Carson,37,0,3,1,1,1,11.0,65.0,42.2,43.2,15.0,59.5,0.08,20.41111111111111,42.38637931034482,0,0,4,1,1.0
1781,B. Kanuric,20,14,3,2,1,0,2.0,71.0,63.8,64.0,56.666666666666664,61.5,1.4,60.08888888888888,1.025,0,0,4,3,2.0
